Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,N Dickwella,N Dickwella1,EMDY Munaweera,EMDY Munaweera2,BKG Mendis,BKG Mendis3,HDRL Thirimanne,HDRL Thirimanne4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,PWH de Silva,PWH de Silva7,A Dananjaya,A Dananjaya8,PM Pushpakumara,PM Pushpakumara9,MVT Fernando,MVT Fernando10,SL Malinga,SL Malinga11
lost,N Dickwella,N Dickwella1,WU Tharanga,WU Tharanga2,EMDY Munaweera,EMDY Munaweera3,HDRL Thirimanne,HDRL Thirimanne4,AD Mathews,AD Mathews5,TAM Siriwardana,TAM Siriwardana6,PWH de Silva,PWH de Silva7,A Dananjaya,A Dananjaya8,PM Pushpakumara,PM Pushpakumara9,MVT Fernando,MVT Fernando10,SL Malinga,SL Malinga11
lost,N Dickwella,N Dickwella1,WU Tharanga,WU Tharanga2,LD Chandimal,LD Chandimal3,HDRL Thirimanne,HDRL Thirimanne4,BKG Mendis,BKG Mendis5,TAM Siriwardana,TAM Siriwardana6,NLTC Perera,NLTC Perera7,A Dananjaya,A Dananjaya8,JDF Vandersay,JDF Vandersay9,RAS Lakmal,RAS Lakmal10,PLS Gamage,PLS Gamage11
lost,N Dickwella,N Dickwella1,WU Tharanga,WU Tharanga2,BKG Mendis,BKG Mendis3,HDRL Thirimanne,HDRL Thirimanne4,LD Chandimal,LD Chandimal5,TAM Siriwardana,TAM Siriwardana6,NLTC Perera,NLTC Perera7,A Dananjaya,A Dananjaya8,JDF Vandersay,JDF Vandersay9,RAS Lakmal,RAS Lakmal10,PLS Gamage,PLS Gamage11
lost,N Dickwella,N Dickwella1,WU Tharanga,WU Tharanga2,LD Chandimal,LD Chandimal3,CK Kapugedera,CK Kapugedera4,HDRL Thirimanne,HDRL Thirimanne5,TAM Siriwardana,TAM Siriwardana6,JDF Vandersay,JDF Vandersay7,NLTC Perera,NLTC Perera8,A Dananjaya,A Dananjaya9,PVD Chameera,PVD Chameera10,PLS Gamage,PLS Gamage11
lost,N Dickwella,N Dickwella1,WU Tharanga,WU Tharanga2,LD Chandimal,LD Chandimal3,HDRL Thirimanne,HDRL Thirimanne4,S Samarawickrama,S Samarawickrama5,TAM Siriwardana,TAM Siriwardana6,S Prasanna,S Prasanna7,NLTC Perera,NLTC Perera8,A Dananjaya,A Dananjaya9,RAS Lakmal,RAS Lakmal10,PLS Gamage,PLS Gamage11
lost,WU Tharanga,WU Tharanga1,S Samarawickrama,S Samarawickrama2,LD Chandimal,LD Chandimal3,HDRL Thirimanne,HDRL Thirimanne4,N Dickwella,N Dickwella5,TAM Siriwardana,TAM Siriwardana6,S Prasanna,S Prasanna7,NLTC Perera,NLTC Perera8,JDF Vandersay,JDF Vandersay9,PVD Chameera,PVD Chameera10,MVT Fernando,MVT Fernando11
won,MD Gunathilaka,MD Gunathilaka1,WU Tharanga,WU Tharanga2,HDRL Thirimanne,HDRL Thirimanne3,AD Mathews,AD Mathews4,N Dickwella,N Dickwella5,DAS Gunaratne,DAS Gunaratne6,NLTC Perera,NLTC Perera7,SS Pathirana,SS Pathirana8,RAS Lakmal,RAS Lakmal9,A Dananjaya,A Dananjaya10,N Pradeep,N Pradeep11
lost,MD Gunathilaka,MD Gunathilaka1,WU Tharanga,WU Tharanga2,HDRL Thirimanne,HDRL Thirimanne3,AD Mathews,AD Mathews4,N Dickwella,N Dickwella5,DAS Gunaratne,DAS Gunaratne6,NLTC Perera,NLTC Perera7,SS Pathirana,SS Pathirana8,A Dananjaya,A Dananjaya9,RAS Lakmal,RAS Lakmal10,N Pradeep,N Pradeep11
lost,MD Gunathilaka,MD Gunathilaka1,WU Tharanga,WU Tharanga2,S Samarawickrama,S Samarawickrama3,AD Mathews,AD Mathews4,N Dickwella,N Dickwella5,DAS Gunaratne,DAS Gunaratne6,NLTC Perera,NLTC Perera7,SS Pathirana,SS Pathirana8,A Dananjaya,A Dananjaya9,RAS Lakmal,RAS Lakmal10,N Pradeep,N Pradeep11
