Day_Night,Result,Home,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
D,won,0,1,lost,v Afghanistan,FDM Karunaratne,MDKJ Perera,HDRL Thirimanne,BKG Mendis,AD Mathews,DM de Silva,NLTC Perera,I Udana,RAS Lakmal,SL Malinga,N Pradeep
D,lost,0,2,won,v Australia,FDM Karunaratne,MDKJ Perera,HDRL Thirimanne,BKG Mendis,AD Mathews,TAM Siriwardana,NLTC Perera,DM de Silva,I Udana,SL Malinga,N Pradeep
D,won,0,1,won,v England,FDM Karunaratne,MDKJ Perera,WIA Fernando,BKG Mendis,AD Mathews,BMAJ Mendis,DM de Silva,NLTC Perera,I Udana,SL Malinga,N Pradeep
D,lost,0,1,lost,v South Africa,FDM Karunaratne,MDKJ Perera,WIA Fernando,BKG Mendis,AD Mathews,DM de Silva,BMAJ Mendis,NLTC Perera,I Udana,RAS Lakmal,SL Malinga
D,won,0,1,lost,v West Indies,FDM Karunaratne,MDKJ Perera,WIA Fernando,BKG Mendis,AD Mathews,HDRL Thirimanne,I Udana,DM de Silva,JDF Vandersay,CAK Rajitha,SL Malinga
D,lost,0,1,won,v India,FDM Karunaratne,MDKJ Perera,WIA Fernando,BKG Mendis,AD Mathews,HDRL Thirimanne,DM de Silva,NLTC Perera,I Udana,CAK Rajitha,SL Malinga
DN,won,1,1,won,v Bangladesh,WIA Fernando,FDM Karunaratne,MDKJ Perera,BKG Mendis,AD Mathews,HDRL Thirimanne,NLTC Perera,DM de Silva,SL Malinga,N Pradeep,CBRLS Kumara
DN,won,1,2,lost,v Bangladesh,WIA Fernando,FDM Karunaratne,MDKJ Perera,BKG Mendis,AD Mathews,HDRL Thirimanne,DM de Silva,A Dananjaya,I Udana,N Pradeep,CBRLS Kumara
DN,won,1,1,won,v Bangladesh,WIA Fernando,FDM Karunaratne,MDKJ Perera,BKG Mendis,AD Mathews,MD Shanaka,GSNFG Jayasuriya,PWH de Silva,A Dananjaya,CAK Rajitha,CBRLS Kumara
DN,lost,0,2,lost,v Pakistan,MD Gunathilaka,S Samarawickrama,WIA Fernando,BOP Fernando,HDRL Thirimanne,GSNFG Jayasuriya,MD Shanaka,PWH de Silva,I Udana,CBRLS Kumara,N Pradeep
DN,lost,0,1,won,v Pakistan,MD Gunathilaka,WIA Fernando,HDRL Thirimanne,AK Perera,M Bhanuka,GSNFG Jayasuriya,MD Shanaka,PWH de Silva,PADLR Sandakan,N Pradeep,CBRLS Kumara
DN,won,1,2,won,v West Indies,WIA Fernando,FDM Karunaratne,MDKJ Perera,BKG Mendis,AD Mathews,DM de Silva,NLTC Perera,PWH de Silva,I Udana,PADLR Sandakan,N Pradeep
DN,won,1,1,lost,v West Indies,WIA Fernando,FDM Karunaratne,MDKJ Perera,BKG Mendis,NLTC Perera,AD Mathews,DM de Silva,PWH de Silva,I Udana,PADLR Sandakan,N Pradeep
DN,won,1,1,won,v West Indies,WIA Fernando,FDM Karunaratne,MDKJ Perera,BKG Mendis,AD Mathews,DM de Silva,NLTC Perera,PWH de Silva,I Udana,PADLR Sandakan,N Pradeep
