Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,AF Milne,AF Milne9,TG Southee,TG Southee10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,AF Milne,AF Milne10,TA Boult,TA Boult11
won,GH Worker,GH Worker1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,TD Astle,TD Astle7,DAJ Bracewell,DAJ Bracewell8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,GH Worker,GH Worker1,C Munro,C Munro2,NT Broom,NT Broom3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,TD Astle,TD Astle7,DAJ Bracewell,DAJ Bracewell8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,GH Worker,GH Worker1,C Munro,C Munro2,NT Broom,NT Broom3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,MJ Santner,MJ Santner7,TD Astle,TD Astle8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,MJ Santner,MJ Santner7,TG Southee,TG Southee8,TD Astle,TD Astle9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,MJ Santner,MJ Santner7,TD Astle,TD Astle8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,MJ Santner,MJ Santner7,TD Astle,TD Astle8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,C de Grandhomme,C de Grandhomme5,HM Nicholls,HM Nicholls6,TWM Latham,TWM Latham7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,MJ Henry,MJ Henry10,LH Ferguson,LH Ferguson11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,IS Sodhi,IS Sodhi10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,C Munro,C Munro2,MS Chapman,MS Chapman3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,MS Chapman,MS Chapman4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,IS Sodhi,IS Sodhi10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,C de Grandhomme,C de Grandhomme6,HM Nicholls,HM Nicholls7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,IS Sodhi,IS Sodhi10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,TWM Latham,TWM Latham4,MS Chapman,MS Chapman5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,IS Sodhi,IS Sodhi10,TA Boult,TA Boult11
won,GH Worker,GH Worker1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,TG Southee,TG Southee8,IS Sodhi,IS Sodhi9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
lost,GH Worker,GH Worker1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,TG Southee,TG Southee8,IS Sodhi,IS Sodhi9,TA Boult,TA Boult10,LH Ferguson,LH Ferguson11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,HM Nicholls,HM Nicholls5,TL Seifert,TL Seifert6,JDS Neesham,JDS Neesham7,MJ Henry,MJ Henry8,IS Sodhi,IS Sodhi9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,HM Nicholls,HM Nicholls5,JDS Neesham,JDS Neesham6,TL Seifert,TL Seifert7,TG Southee,TG Southee8,MJ Henry,MJ Henry9,IS Sodhi,IS Sodhi10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,HM Nicholls,HM Nicholls5,JDS Neesham,JDS Neesham6,TL Seifert,TL Seifert7,TG Southee,TG Southee8,MJ Henry,MJ Henry9,IS Sodhi,IS Sodhi10,LH Ferguson,LH Ferguson11
lost,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,MJ Santner,MJ Santner7,DAJ Bracewell,DAJ Bracewell8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,C de Grandhomme,C de Grandhomme7,DAJ Bracewell,DAJ Bracewell8,IS Sodhi,IS Sodhi9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,C Munro,C Munro2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,TWM Latham,TWM Latham5,HM Nicholls,HM Nicholls6,MJ Santner,MJ Santner7,DAJ Bracewell,DAJ Bracewell8,IS Sodhi,IS Sodhi9,TA Boult,TA Boult10,LH Ferguson,LH Ferguson11
