Player,Fielders_score
WP Saha (INDIA),16.702200000000005
SO Hetmyer (WI),16.4913504
A Nehra (Asia/INDIA),16.453793799999996
AC Hudson (SA),16.35898147920792
GF Lawson (AUS),16.333822279207915
Asif Mujtaba (PAK),16.30558047920792
H Klaasen (SA),16.3039256
HJH Marshall (NZ),16.30312767920792
SA Thomson (NZ),16.299292599999994
RS Madugalle (SL),16.295559679207916
DP Viljoen (ZIM),16.290828399999995
SC Williams (WI),16.29011967920792
PG Fulton (NZ),16.287810999999998
S Madan Lal (INDIA),16.282994799999994
Maninder Singh (INDIA),16.281130599999994
AR Cusack (IRE),16.275159679207917
MA Vermeulen (ZIM),16.2686778
LJ Wright (ENG),16.265727999999996
Raqibul Hasan (BDESH),16.264462599999998
NO Miller (WI),16.261458
HM Nicholls (NZ),16.258377079207918
CJ Richards (ENG),15.78022
DA Murray (WI),15.72393207920792
CJ Nevin (NZ),15.71512807920792
Umar Gul (PAK),15.593163800000003
MS Sinclair (NZ),15.521616400000003
RW Price (ZIM),15.510417479207923
WB Rankin (ENG/IRE),15.479902400000002
GD Elliott (NZ),15.479889800000002
GM Wood (AUS),15.459485000000003
IJ Harvey (AUS),15.422897000000003
Khaled Mahmud (BDESH),15.418082000000002
YK Pathan (INDIA),15.413287
JJ Bumrah (INDIA),15.409737200000004
MJ Henry (NZ),15.401991200000001
TJ Friend (ZIM),15.397749800000003
E Lewis (WI),15.396230600000003
AT Rayudu (INDIA),15.379812800000003
TT Samaraweera (SL),15.378745400000003
Haris Sohail (PAK),15.360172400000003
CS Pandit (INDIA),15.294943079207924
IJ Gould (ENG),14.876045079207922
APE Knott (ENG),14.8003506
SW Billings (ENG),14.758336600000003
WKM Benjamin (WI),14.589231679207922
Naved-ul-Hasan (PAK),14.578427400000002
Dawlat Zadran (AFG),14.572470000000003
PJ Cummins (AUS),14.567737200000002
GP Howarth (NZ),14.552639079207923
Zaheer Abbas (PAK),14.539451679207923
TJ Murtagh (IRE),14.534787999999999
RL Dias (SL),14.525199879207923
VS Solanki (ENG),14.510757000000002
GJ Rennie (ZIM),14.482104879207922
N Chopra (INDIA),14.470705200000003
CWJ Athey (ENG),14.458136600000001
BJ Hodge (AUS),14.441064000000003
MSK Prasad (INDIA),14.039113079207922
EB McSweeney (NZ),13.908141879207921
MD Marshall (WI),13.8305602
BAW Mendis (SL),13.738774600000003
VG Kambli (INDIA),13.734112399999999
PS de Villiers (SA),13.715449600000001
SE Bond (NZ),13.712465200000002
ST Finn (ENG),13.699939000000002
Sohail Tanvir (PAK),13.680686800000002
JR Hazlewood (AUS),13.656747400000002
MA Atherton (ENG),13.647740800000001
JA Morkel (Afr/SA),13.643462200000002
DT Hondo (ZIM),13.635300199999998
AR Nurse (WI),13.633959879207922
CM Spearman (NZ),13.6328762
JD Ryder (NZ),13.628632600000001
BC Strang (ZIM),13.626169279207922
