Player,Fielders_score
EC Rainsford (ZIM),5.908939999999999
RL Chase (WI),5.8994
L Balaji (INDIA),5.873
JWM Dalrymple (ENG),5.86934
ADS Fletcher (WI),5.8636
Hashmatullah Shahidi (AFG),5.8528
SW Tait (AUS),5.793899999999999
JM Parker (NZ),5.785440000000001
Amir Hamza (AFG),5.774139999999999
KD Walters (AUS),5.76874
BJ McCarthy (IRE),5.768739999999999
RK Chauhan (INDIA),5.768739999999999
RP Snell (SA),5.74364
RR Hendricks (SA),5.7432
DAS Gunaratne (SL),5.742699999999999
JM Brearley (ENG),5.7326
HMCM Bandara (SL),5.71844
RD King (WI),5.71314
Sanwar Hossain (BDESH),5.69864
GA Manou (AUS),5.6942
T Maruma (ZIM),5.688740000000001
SHT Kandamby (SL),5.678039999999999
ID Blackwell (ENG),5.6724
SFAF Bacchus (WI),5.65914
Hannan Sarkar (BDESH),5.657140000000001
R Lamba (INDIA),5.65374
ELR Stewart (SA),5.64024
AC Dale (AUS),5.6318
KR Pushpakumara (SL),5.60794
N Deonarine (WI),5.60344
MH Yardy (ENG),5.6021
FDM Karunaratne (SL),5.6021
SC Khanna (INDIA),5.593540000000001
VB John (SL),5.5914
CM Old (ENG),5.582299999999999
R Clarke (ENG),5.572800000000001
CE Cuffy (WI),5.5634
ARC Fraser (ENG),5.5623000000000005
D Bishoo (WI),5.5607
